,zinc_id,smiles,Molecule Name,ROMol
21,ZINC000003831405,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,"3-[(4-acetylphenyl)carbamoylamino]-N-[1-amino-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]-1,4,5-trihydroxycyclohexane-1-carboxamide",<rdkit.Chem.rdchem.Mol object at 0x00000192331E6D60>
22,ZINC000003831404,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,"2-[2,6-dihydroxy-5-(hydroxymethyl)-5,8a-dimethyl-1,2,3,4,4a,6,7,8-octahydronaphthalen-1-yl]-N-phenylacetamide",<rdkit.Chem.rdchem.Mol object at 0x00000192331E6DD0>
23,ZINC000000389747,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,2-methyl-4-[(1-methyl-5-oxo-3-phenyl-4H-pyrazol-4-yl)-(2-nitrophenyl)methyl]-5-phenyl-4H-pyrazol-3-one,<rdkit.Chem.rdchem.Mol object at 0x00000192331E6E40>
24,ZINC000085205448,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],tert-butyl 2-ethyl-5-pyridin-3-ylpyrrolidine-1-carboxylate,<rdkit.Chem.rdchem.Mol object at 0x00000192331E6EB0>
25,ZINC000000967520,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,3-acetamido-N-[(4-propan-2-yloxyphenyl)methylideneamino]benzamide,<rdkit.Chem.rdchem.Mol object at 0x00000192331E6F20>
26,ZINC000001633889,CCCC[C@H](CC)COC(=O)/C=C/c1ccc(OC)cc1,"2-hydroxy-5-[(6-hydroxy-2,4-dioxo-1H-pyrimidin-5-yl)diazenyl]benzoic acid",<rdkit.Chem.rdchem.Mol object at 0x00000192331E6F90>
27,ZINC000003830635,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,4-methoxy-N-[3-oxo-3-(propylamino)-1-[5-[3-(trifluoromethyl)phenyl]furan-2-yl]prop-1-en-2-yl]benzamide,<rdkit.Chem.rdchem.Mol object at 0x000001923319B040>
28,ZINC000026011099,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,4-chloro-N-[(2R)-1-[2-(furan-2-carbonyl)hydrazinyl]-3-methyl-1-oxobutan-2-yl]benzenesulfonamide,<rdkit.Chem.rdchem.Mol object at 0x000001923319B0B0>
29,ZINC000000005560,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,"6-chloro-3-(dichloromethyl)-1,1-dioxo-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",<rdkit.Chem.rdchem.Mol object at 0x000001923319B120>
30,ZINC000000005823,Cc1cccc(Nc2ccncc2S(=O)(=O)/N=C(\O)NC(C)C)c1,1-(diaminomethylidene)-3-(4-nitrophenyl)urea,<rdkit.Chem.rdchem.Mol object at 0x000001923319B190>
31,ZINC000000005895,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,N-(9H-fluoren-2-yl)hydroxylamine,<rdkit.Chem.rdchem.Mol object at 0x000001923319B200>
32,ZINC000000006016,COc1ccc([C@@H](CN(C)C)C2(O)CCCCC2)cc1,trimethyl(1-phenothiazin-10-ylpropan-2-yl)azanium,<rdkit.Chem.rdchem.Mol object at 0x000001923319B270>
33,ZINC000000602128,O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1,"ethyl 5-(acetyloxymethyl)-3,4-dimethyl-1H-pyrrole-2-carboxylate",<rdkit.Chem.rdchem.Mol object at 0x000001923319B2E0>
34,ZINC000000607939,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@H]1c1cccc2nonc12,"3-[[4,6-bis(dimethylamino)-1,3,5-triazin-2-yl]sulfanyl]-2-chloropropanenitrile",<rdkit.Chem.rdchem.Mol object at 0x000001923319B350>
35,ZINC000000608382,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,N-[2-(cyclopropanecarbonyl)-1-benzofuran-3-yl]acetamide,<rdkit.Chem.rdchem.Mol object at 0x000001923319B3C0>
36,ZINC000002568036,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,"2-[(4Z)-4-benzylidene-1-(4-fluorophenyl)-5-oxoimidazol-2-yl]sulfanyl-N-[2-(2,4-dioxo-1,3-thiazolidin-3-yl)ethyl]acetamide",<rdkit.Chem.rdchem.Mol object at 0x000001923319B430>
37,ZINC000002570817,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,[2-(4-acetamidoanilino)-2-oxoethyl] 4-amino-5-chloro-2-methoxybenzoate,<rdkit.Chem.rdchem.Mol object at 0x000001923319B4A0>
38,ZINC000002599970,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,"[2-(2-methylpropylcarbamoylamino)-2-oxoethyl] 3-(1,3-dioxoisoindol-2-yl)benzoate",<rdkit.Chem.rdchem.Mol object at 0x000001923319B510>
39,ZINC000003956788,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,"(5-bromo-3-methyl-1-benzofuran-2-yl)-[4-(2,4-dimethylphenyl)sulfonylpiperazin-1-yl]methanone",<rdkit.Chem.rdchem.Mol object at 0x000001923319B580>
40,ZINC000256433955,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@@H]3CC[C@@]21CC,Not Found,<rdkit.Chem.rdchem.Mol object at 0x000001923319B5F0>
41,ZINC000100003902,Cc1nnc(C(C)C)n1[C@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,"(3,4-dimethoxyphenyl)-[5-hydroxy-4-[(4-phenylpiperazin-1-yl)methyl]-1-benzofuran-3-yl]methanone",<rdkit.Chem.rdchem.Mol object at 0x000001923319B660>
42,ZINC000000025958,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,"5,6,7,8-tetrahydronaphthalene-2-carboxamide",<rdkit.Chem.rdchem.Mol object at 0x000001923319B6D0>
43,ZINC000000607986,O[C@@H](CNC[C@@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@H]1CCc2cc(F)ccc2O1,"N,N-dimethyl-1-[4-(3-methylbutyl)-1H-indol-3-yl]methanamine",<rdkit.Chem.rdchem.Mol object at 0x000001923319B740>
44,ZINC000001530737,CN/C(=C/[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,"[(3S)-1-[(5-bromo-2-methoxyphenyl)methyl]piperidin-3-yl]-(3,4-dihydro-1H-isoquinolin-2-yl)methanone",<rdkit.Chem.rdchem.Mol object at 0x000001923319B7B0>
45,ZINC000001690604,C[C@H](N)Cc1ccc(O)cc1,"dimethyl-[3-[(6-phenylthieno[2,3-d]pyrimidin-4-yl)amino]propyl]azanium",<rdkit.Chem.rdchem.Mol object at 0x000001923319B820>
46,ZINC000003816287,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,"6-[[2,5-dimethyl-1-[3-(trifluoromethyl)phenyl]pyrrol-3-yl]methylidene]-5-imino-2-phenyl-[1,3,4]thiadiazolo[3,2-a]pyrimidin-7-one",<rdkit.Chem.rdchem.Mol object at 0x000001923319B890>
47,ZINC000003831551,C[C@@H](S)C(=O)NCC(=O)O,ethyl 2-[5-anilino-2-(propan-2-ylamino)phenyl]sulfanylpropanoate,<rdkit.Chem.rdchem.Mol object at 0x000001923319B900>
48,ZINC000003991624,OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,"N-[1-[4-(5-chloro-2-methylphenyl)-5-[(4-fluorophenyl)methylsulfanyl]-1,2,4-triazol-3-yl]ethyl]-4-pentylbenzamide",<rdkit.Chem.rdchem.Mol object at 0x000001923319B970>
49,ZINC000004216238,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,2-(4-chlorophenyl)-N-(2-morpholin-4-ium-4-ylethyl)quinazolin-4-amine,<rdkit.Chem.rdchem.Mol object at 0x000001923319B9E0>
50,ZINC000150588351,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,2-azidoethylsilyl(trimethyl)silane,<rdkit.Chem.rdchem.Mol object at 0x000001923319BA50>
51,ZINC000008466459,CN[C@H](C)Cc1ccccc1,"(4-amino-6-anilino-1,3,5-triazin-2-yl)methyl 1-(2-fluorophenyl)cyclopentane-1-carboxylate",<rdkit.Chem.rdchem.Mol object at 0x000001923319BAC0>
52,ZINC000009574770,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,1-[(E)-(5-methyl-2-propan-2-ylcyclohexylidene)amino]-3-phenylthiourea,<rdkit.Chem.rdchem.Mol object at 0x000001923319BB30>
53,ZINC000014881137,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,"5,6-dimethyl-3-(2-methylpropyl)-1-(2-morpholin-4-ylethyl)pyrazin-2-one",<rdkit.Chem.rdchem.Mol object at 0x000001923319BBA0>
54,ZINC000169677008,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Not Found,<rdkit.Chem.rdchem.Mol object at 0x000001923319BC10>
55,ZINC000034089131,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,"(1R)-2-(3,4-dihydro-2H-quinolin-1-yl)-1-(2-fluorophenyl)ethanol",<rdkit.Chem.rdchem.Mol object at 0x000001923319BC80>
56,ZINC000053084692,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,"N-[(2,5-dimethoxyphenyl)methyl]-1-[(4-fluorophenyl)methyl]indazole-6-carboxamide",<rdkit.Chem.rdchem.Mol object at 0x000001923319BCF0>
57,ZINC000100070954,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@@H]3CC[C@H](C)CC3)cc2)C1=O,"(Z,2S)-5-[1-(2-cyanoethyl)indol-3-yl]-2-(4,6-dimethylpyrimidin-2-yl)-3-oxopent-4-enenitrile",<rdkit.Chem.rdchem.Mol object at 0x000001923319BD60>
58,ZINC000100014475,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],2-(benzenesulfonamido)-N-[3-(4-chlorophenyl)propyl]benzamide,<rdkit.Chem.rdchem.Mol object at 0x000001923319BDD0>
59,ZINC000256433952,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@]21CC,Not Found,<rdkit.Chem.rdchem.Mol object at 0x000001923319BE40>
60,ZINC000000002299,CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1,N-hydroxy-N'-[1-(methylamino)-1-oxo-3-phenylpropan-2-yl]-3-(2-methylpropyl)-2-(thiophen-2-ylsulfanylmethyl)butanediamide,<rdkit.Chem.rdchem.Mol object at 0x000001923319BEB0>
61,ZINC000000896666,N[C@H]1C[C@H]1c1ccccc1,"ethyl 2-[2-[(5-chlorothiophene-2-carbonyl)amino]-4-methyl-1,3-thiazol-5-yl]acetate",<rdkit.Chem.rdchem.Mol object at 0x000001923319BF20>
62,ZINC000001554010,CC(C)C(=O)O[C@@H](C)OC(=O)NCC1(CC(=O)O)CCCCC1,"dimethyl-[2-[(2S,3S)-2-(4-nitrophenyl)-4,5-dioxo-3-(4-prop-2-enoxybenzoyl)pyrrolidin-1-yl]ethyl]azanium",<rdkit.Chem.rdchem.Mol object at 0x000001923319BF90>
63,ZINC000245204924,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,Not Found,<rdkit.Chem.rdchem.Mol object at 0x0000019233209040>
64,ZINC000003830960,COCC(=O)Nc1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)N(C)C[C@@H](O)CO)c1I,"1-(3,4-dichlorophenyl)-3-[2-hydroxy-5-(2-methylbutan-2-yl)phenyl]thiourea",<rdkit.Chem.rdchem.Mol object at 0x00000192332090B0>
65,ZINC000004212809,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,3-benzyl-2-pentadecylpyrrolidine,<rdkit.Chem.rdchem.Mol object at 0x0000019233209120>
66,ZINC000004658603,CC(=O)NO,"7-(3-hydroxypropyl)-1,3-dimethyl-8-[(4-methylpiperidin-1-yl)methyl]purine-2,6-dione",<rdkit.Chem.rdchem.Mol object at 0x0000019233209190>
