,zinc_id,Fingerprint,Mol_Weight,LogP
0,455,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,138.008195334,-0.0911
1,716,01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010100000010010000000000100000000000000000000000000000100000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000100100000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000001000010000000000000000000000010000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000001000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000,344.10802622400007,5.376700000000004
2,246,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000010000000000000000000000000000000000000000000100000000001100000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000000000000000000000000000100000000010000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000010000000000000000000000100000000000000000000000001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000,253.107593352,0.8334000000000001
3,1581,00000000000000000000000000000000000000000000000000000000010000000001100000000000001010000000100000000000000001000000000100000000000100000000000010000000000000000000000000000000000001000000000000000010000000000000000000000000000001000000000000000000000000001000000100000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000100000000000100000000000000000000010010000010000000000000000000001000000000001000000000000000000000000000000000000000000000010000000000000100000000000000000000000000100000100000000000000000000000001000010000000110010000000000000000000000100000000000000000000000000000001000001000000000000000000000000000000000000000000010010001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010010000000100000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000001001000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000100000001000000000000000000000000000000100000000000000000000000000000000000000000000100001000000000000010000000000010000100010000000000000100000000000000001000000000000000100000000000000000000001001000000001000000000000000000011000000000000001000000000000000000001000000000000010000000000000000000000000000000000000000000001000000000100000000000000000000010000000100000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000100000000000000000100000000000000000000000000001000000000000000000100000000000000000000000000000000000000000001000000100000000000000000000000000000000000000001000000000000000000000000000011000000000000000000000000000010000000100000000000000000000000000000000000000100000000000000000000,780.429606728,2.218100000000003
4,148,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000001000000000001000000000001000000000010000001000000000000000000000000000000000000000000000000000000000000000011000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000,145.052763844,1.9403999999999997
5,660,00000000000000000000000000000000010000000101000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000100000000000100000010000100000000000000000000000000000000000000000000000000100000000000000000100000000000000100000000000000000000010000000010010000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000001100000000000100000000000000000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000100010000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010010010000000000000000100000000000000001001000000000000000000000000000010100000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000100000010000000000000000000000001000000000000000000100010000100000000000000001000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000000001000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000001000000000000000000000001000000000000000000000000000000000000100000010000000000100000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000,375.159434404,1.9804
6,590,00100000010000001000000000000000000000000000000000000000000010000000000000000000100000000000000001000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000100000001100000000000000000100000000000000000001000000010000010010000000000100100000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000001000000100000010010000000000000000010000000000000000000000000000000010000010000000000000000000000000000000001101000110000000100000000000000000000000000000100000000000000000000001000100000000100000000000000000000000000000000010100000000000000000000000000000000000000010000000000000000000000000000000000000001000000001000000000000000000100000000000000000000000100000000000000000000000000100000000100000010000000000000000001000000000000000000000010000000000000000000000000010000000100000000100000000000000000000000000001001000010000000000000000100000000000000100000000000000000000001000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010001000000010010000000000000000000100000000000000000000000000000000100000000000000000000000001000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000001100000000000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001100000000000000100001000000000000000000000010000000000001000000000000100001000000000000010000000000000000000000000000000000011000001000000001001000000000000000000000000000000000010100100010000000000000000000000000000100000000000000000000100000000000010000000000000000010000000000100000000000000000000000010000000000000,586.279134936,4.091100000000004
7,892,00000000000000000000000000000010011000000000000000000000000000000000000000000000100000000000000000000000000000000000100001100000000000000001000000010000000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000000010000000000001000000000000000000000010000000000001000000000000000100000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000110000000001000000000000000010000000000000000000000000001000000000000000000000000000000000000100010000000000000000000000000000000000000000000001000000000000100000100000000000000000000001000000010000000100000000000000000000000000100000000000000000000000000000000010000000000000000100000000000000000000000000000000010000000000000000000000000000000001100000000000000000000000000000000100000010000000000000010000000000000000000000000000100000000000001000000000000000000000000000000001000000000010000000000000000000000000010000000100000000000000000001000000000000000001001000000000100000000000000100100000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000100000010000010000000000001000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000010000000010100000000000000000000010000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000010000000001000000000000000100000000000000000001000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000001001000000000000000000000000000000000000001000000000000000000000000010000000000000000100000000000010000000000000000100000000001100001000000000000000000000000000000100000010001000000000000000000000000000000000000000000000000100000000000000000100000000100000000000000000000000000000000001000000001000000,543.1740607479999,0.0012999999999993
8,73,01000000000000000000001000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001000100000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000010000000000000000001000000000000100000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000000001000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,304.07453317599993,1.925
9,363,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000101000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000001000000000000000001000001000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000,129.033839968,-0.5088000000000001
